Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,,,,,,,,,,,
,,,,,,,,,,,
20,GW-T-S3 Gear Wireless Charging Dock,30,30,0,it is not the one listed here,,,,,,
1,GW-T-SAMSUNG-19V-LEDPLUG,5,5,0,,,,,,,
3,GW-T-Car Reverse Camera Kit (Bracket Mount),3,3,0,,,,,,,
,TP.VST59S.PB813,1,1,0,Keep aside. ,,,,,,
30,GW-T-30m vga extender (set of 2),60,60,0,30 pairs ,,,,,,
10,GW-T-HDMI Repeater-40M (PW-HR40),20,20,0,,,,,,,
12,GW-T- Silicone Case- Mi Box S - Red,15,15,0,,,,,,,
12,GW-T- Silicone Case- Mi Box S - Black,15,15,0,,,,,,,
12,GW-T- Silicone Case- Mi Box S - Blue,15,15,0,,,,,,,
5,GW-T-Spiderman Kids Costume-Medium,15,15,0,,,,,,,
5,GW-T-Spiderman Kids Costume-Small,15,15,0,,,,,,,
3,GW-T-PJ Mask Costume - Gekko (Small),5,5,0,,,,,,,
3,GW-T-PJ Mask Costume - Gekko (Medium),5,5,0,,,,,,,
3,GW-T-PJ Mask Costume - Gekko (Large),5,5,0,,,,,,,
10,GW-T-Versa 2 Bumper-Clear,30,30,0,,,,,,,
10,GW-T-90° USB to Micro USB Cable,30,30,0,,,,,,,
,Motherboard Power / Reset Switch Button,30,30,0,,,,,,,
10,GW-T-Film Scanner-22MP,20,20,0,,,,,,,
20,GW-T-Automatic Soap Dispenser,40,40,0,,,,,,,
5,GW-T-HDMI 4 Way Splitter with Edid,20,20,0,,,,,,,
10,GW-T-HDMI 4 Way Splitter,20,20,0,,,,,,,
10,GW-T-USB Numerical Keypad,15,15,0,,,,,,,
3,GW-T-USB C Microphone (1.5m),5,5,0,,,,,,,
,GW-T-RASPBERRY PI 3 CLEAR CASE,5,5,0,,,,,,,
10 x 2 packs,GW-T-RCA to Female Stereo 3.5mm Cable,50,50,0,,,,,,,
10 single/5 x 2 pack/2 X 3 pack,GW-T-PYO2SATA (Sata Y Power Splitter),40,40,0,,,,,,,
1,GW-T-Senior Fall Alarm,3,3,0,,,,,,,
,"5-Port HDMI Switch with IR Remote Control (5-in, 1-out)",2,2,0,Give to Pinni,,,,,,
3,GW-T-Car Reverse Camera Kit (Flush Mount),3,3,0,,,,,,,
1,GW-T-Nokia 5.1 Plus Case-Black,3,3,0,,,,,,,
1,GW-T-Nokia 5.1 Plus Case-Blue,3,3,0,,,,,,,
30,GW-T-HDV-E50C,100,100,0,How many to TA?,,,,,,
