Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,,,,,,,,,,,
,,,,,,,,,,,
5,GW-T-i8 Mini Wireless Keyboard,30,30,0,,,,,,,
40,GW-T-HDMI Switch 3 Port,50,50,0,,,,,,,
10,GW-T-Snuggie,25,25,0,,,,,,,
5,GW-T-Fitbit inspire HR Charger - 1M,10,10,0,,,,,,,
5,GW-T-Fitbit inspire HR Charger - 30 CM,10,10,0,,,,,,,
,PSU for 20000mah laptop power bank,1,1,0,,,,,,,
1,GW-T-KIDS MINI ACTION CAMERA-BLUE&YELLOW,3,3,0,,,,,,,
,DC to AC power inverter (give to Ari),1,,-1,,,,,,,
,Parking sensor components,1,1,0,,,,,,,
20,GW-T-75w inverter,30,30,0,,,,,,,
10,GW-T-VGAM-HDMIF-AUDIO,20,20,0,,,,,,,
,GW-T-webcam light stand,10,10,0,,,,,,,
20 x 1 pack/ 10 x 2 packs,GW-T-3.5mm Audio Splitter,100,100,0,,,,,,,
,Suction cup cellphone wireless charger (give to Pinni),2,2,0,,,,,,,
,GW-T-AV-RCA CABLE,10,10,0,,,,,,,
40 x 1 pack/ 3 x 2 packs,GW-T-LCD Writing Tablet-Black,50,50,0,,,,,,,
90,GW-T-webcam cover (3 pack),100,100,0,,,,,,,
15,GW-T-3 in 1 sim cutter,20,20,0,,,,,,,
60,GW-T-AV to HDMI,100,100,0,,,,,,,
5,GW-T-HDMI to AV,20,20,0,,,,,,,
5,GW-T-Wifi doorbell,10,10,0,,,,,,,
,GW-T-Wireless Chime Bell,5,5,0,,,,,,,
40,GW-T-Xiaomi Mi Box and Mi box S Bluetooth Remote,50,50,0,,,,,,,
5,GW-T-Fast Charging Stand-Wireless - Black,20,20,0,,,,,,,
5,GW-T-Fast Charging Stand-Wireless - White,20,20,0,,,,,,,
2,GW-T-Wireless Charging Mouse Pad-Black,3,3,0,,,,,,,
5,GW-T-PJ Mask figurine and vehicle- Catboy,10,10,0,,,,,,,
5,GW-T-PJ Mask figurine and vehicle- Owlette,10,10,0,,,,,,,
5,GW-T-PJ Mask figurine and vehicle- Gekko,10,10,0,,,,,,,
6,GW-T-Bluetooth Foldable Mouse,10,10,0,,,,,,,
3,GW-T-EZCAP 284,10,10,0,,,,,,,
3,GW-T-PJ Mask Costume- Catboy (Small),5,5,0,,,,,,,
5,GW-T-Paw Patrol Costume- Chase (Small),10,10,0,,,,,,,
5,GW-T-Paw Patrol Costume- Chase (Medium),10,10,0,,,,,,,
5,GW-T-Paw Patrol Costume- Chase(Large),10,10,0,,,,,,,
2,GW-T-Paw Patrol Costume- Marshall (Large),5,5,0,,,,,,,
50,GW-A-Huawei B315s-22,200,200,0,,,,,,,
2,GW-A-NJF-5X 50000mAh Power Bank,10,10,0,,,,,,,
,NB7102 -17500mah,20,20,0,,,,,,,
,NB7102 - 22400mah,20,20,0,,,,,,,
