Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,Fedex 772090326690			,,,,,,,,,,
,,,,,,,,,,,
,GW-T-Cigarette lighter wall charger - 2A output,1,,-1,,,,,,,
,AC Adapter- 36w 12v,1,,-1,,,,,,,
,GW-T-Zoom Lens-Silver,1,,-1,,,,,,,
,GW-T-Zoom Lens-Black,1,,-1,,,,,,,
,GW-T-Zoom Lens-Pink,1,,-1,,,,,,,
,GW-T-Zoom Lens-Gold,1,,-1,,,,,,,
15,GW-T-M.2 to SATA Converter,50,,-50,,,,,,,
8,GW-T-USB to LAN-Gigabit,12,,-12,,,,,,,
4,GW-T-Paw Patrol Costume- Chase (Small),5,,-5,,,,,,,
2,GW-T-Paw Patrol Costume- Chase (Medium),5,,-5,,,,,,,
5,GW-T-PJ Mask Costume- Catboy (Small),10,,-10,,,,,,,
5,GW-T-PJ Mask Costume- Catboy (Medium),10,,-10,,,,,,,
5,GW-T-PJ Mask Costume- Catboy (Large),10,,-10,,,,,,,
2,GW-T-PJ Mask Costume - Owlette (Small),5,,-5,,,,,,,
3,GW-T-PJ Mask Costume - Owlette (Medium),5,,-5,,,,,,,
,GW-T-WIFI RGB LED Controller with remote,20,,-20,,,,,,,
,Remote- RGBW for Strip light,36,,-36,,,,,,,
,GW-T-RJ9 curly cord,50,,-50,,,,,,,
,GW-T-Micro USB Coiled Cable-1M(Black),5,,-5,,,,,,,
7,GW-T-Fitbit inspire HR Charger - 1M,10,,-10,,,,,,,
5,GW-T-Fitbit Versa Gen2 USB Charger-1M,20,,-20,,,,,,,
,GW-T-AW-HVC01,56,,-56,,,,,,,
,GW-T-Wireless Chime Bell,40,,-40,,,,,,,
