Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,"Tracking #: 772478453262                        
",,,,,,,,,,
,,,,,,,,,,,
10 If need,GW-T-5V 2A 5.5mm,50,50,0,,,,,,,
5 If need,GW-P-DC Extension cable for Echo Dot - 3 Meter,10,10,0,,,,,,,
2,GW-T-Rugged Case for Samsung Galaxy A11,5,5,0,,,,,,,
,GW-T-HP 2570P Fan,1,1,0,,,,,,,
10,GW-T-Headrest tablet holder-Black,20,20,0,,,,,,,
2,GW-T-Lenovo X104 Tab E10 Case,5,5,0,,,,,,,
2,GW-T-Rugged Case Galaxy Tab A8,5,5,0,,,,,,,
,GW-T-i8 Mini Wireless Keyboard,30,30,0,,,,,,,
5 X for 10 packs if need,GW-T-Paw Patrol Mask- Chase,10,10,0,,,,,,,
5,GW-T-WIFI RGBW LED Controller with remote,20,20,0,,,,,,,
2,GW-T-3 MALE TO 6 FEMALE RCA SPLITTER,30,30,0,,,,,,,
2,GW-T-JBL Flip 3/4 Case,5,5,0,,,,,,,
2,GW-T-Carry case for UE BOOM 2,5,5,0,,,,,,,
20,GW-T-Spiderman Glove and Launcher,50,50,0,,,,,,,
,GW-T-Micro USB Coiled Cable-1M(Black),15,15,0,,,,,,,
10,GW-T-USB3.0 Type-C Universal Docking Station,20,20,0,,,,,,,
5,GW-T-Lightning Connector to Female USB,15,15,0,,,,,,,
7,GW-T-USB wifi adapter with AR8812AU chipset,10,10,0,,,,,,,
,,,,0,,,,,,,
,GW-T-USB TO MIDI,40,40,,,,,,,,
