Send to TA,Item,Qty ordered,QTY received 1?,QTY received 2,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,Tracking #: 772571691153                        ,,,,,,,,,,,
,,,,,,,,,,,,
,GW-T-WYZE CAM V2 - White,7,7,,0,,,,,,,
,GW-T-WYZE CAM V2 - Black,7,7,,0,,,,,,,
,GW-T-Wyze Cam Outdoor,18,12,,-6,,,,,,,
,GW-T-BOSE SOUNDLINK MICRO-BLACK,2,2,,0,,,,,,,
,GW-T-Kindle Kids Edition-Rainbow Birds,2,2,,0,,,,,,,
,GW-T-Nvidia Shield 2019 REMOTE only,3,3,,0,,,,,,,
,GW-T-Wyze Vacuum,4,4,,0,,,,,,,
,GW-T-APPLE HOMEPOD-SGRAY,1,1,,0,,,,,,,
,GW-T-APPLE HOMEPOD-WHITE,2,2,,0,,,,,,,
,GW-T-Mount Genie Google Home Mini Stand-Silver#,11,11,,0,,,,,,,
,GW-T-ECHO DOT 4TH GEN KIDS EDITION-PANDA,3,3,,0,,,,,,,
,GW-T-ECHO DOT 4TH GEN KIDS EDITION-TIGER,5,5,,0,,,,,,,
,GW-T-Echo show 8 - Sandstone,2,2,,0,,,,,,,
,GW-T-Yubikey 5C,1,1,,0,,,,,,,
,GW-T-DZ7333,1,1,,0,,,,,,,
