Send to TA,Item,Qty ordered,QTY received 1?,QTY received 2,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,Tracking #  772661399993                                         ,,,,,,,,,,,
,,,,,,,,,,,,
,GW-T-webcam cover (3 pack),300,300,,0,,,,,,,
,GW-T-Flip PaperWhite Case 2018-Black,5,6,,1,,,,,,,
,GW-T-Flip PaperWhite Case 2018-Blue,5,5,,0,,,,,,,
,GW-T-Flip PaperWhite Case 2018-Pink,5,4,,-1,,,,,,,
,GW-T-Flip PaperWhite Case 2018-Grey,5,5,,0,,,,,,,
,GW-T-Flip PaperWhite Case 2018-Purple,5,5,,0,,,,,,,
,GW-T-Wireless Strip Light Kit-10m,20,20,,0,,,,,,,
,GW-T-USA TO SA 2 pin,500,500,,0,,,,,,,
,GW-T-Portable Nebulizer,30,30,,0,,,,,,,
,GW-T-K-380EW WIFI Remote,5,5,,0,,,,,,,
,GW-T-SDI to HDMI Converter,20,20,,0,,,,,,,
,GW-T-Versa 2 Bumper-Clear,200,90,,-110,,,,,,,
,GW-T-USB Multi Charger -10 in 1,20,20,,0,,,,,,,
,GW-T-EZCAP 218,20,20,,0,,,,,,,
,,,,,0,,,,,,,
