Send to TA,Item,Qty ordered,QTY received 1,QTY received 2,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,Tracking #:772765592032                                             ,,,,,,,,,,,
,,,,,,,,,,,,
,GW-T-Eufy Indoor pan and tilt,1,1,,0,,,,,,,
,GW-T-Wyze Cam Outdoor Expansion Camera,3,3,,0,,,,,,,
,GW-T-Wyze Cam Outdoor,3,3,,0,,,,,,,
,GW-T-Battery Fitbit Blaze,1,1,,0,,,,,,,
,GW-T-Samsung Wireless Charger Portable Battery 10000mAh (Silver),3,3,,0,,,,,,,
,GW-T-Google Pixel 5-5G-Just Black,1,1,,0,,648,381,,,,
,GW-T-Google Pixel 5-5G-Sorta Sage,1,1,,0,,648,381,,,,
,GW-T-Fire HD 10 Kids Edition-Purple Kid-Proof Case,1,1,,0,,,,,,,
,GW-T-FITBIT VERSA BLACK,2,2,,0,,,,,,,
,GW-T-BOSE SOUNDLINK MICRO-BLACK,2,2,,0,,,,,,,
,Headphones- Apple Airpods Pro (Give to Pinni),1,1,,0,,,,,,,
,GW-P-RING BATTERY PACK-8AB1S7-0EU0,1,1,,0,,,,,,,
,GW-T-Logitech K830,6,6,,0,,,,,,,
,GW-T-13 inch MacBook Air Keyboard Cover-Grey,1,1,,0,,,,,,,
,GW-T-K380 Rose Keyboard-Rose,3,3,,0,,,,,,,
,GW-T-LOGITECH HARMONY HUB - REFURB,1,1,,0,,,,,,,
,GW-T-WYZE BULB-4 PACK,3,3,,0,,,,,,,
,GW-T-Battery JBL Charge 3,1,1,,0,,,,,,,
,GW-T-Echo auto,3,3,,0,,,,,,,
,GW-T-Echo Flex,2,2,,0,,,,,,,
,Speaker- Pyle home (Give to Pinni),1,1,,0,,,,,,,
,GW-T-FTW4041,1,1,,0,,,,,,,
