sku,variant_image,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,del image
1003293,https://gm-stock2shop.s3.amazonaws.com/f11a0d1853ea32fc8e3792ec696882fb4449e6f8.jpg,https://gm-stock2shop.s3.amazonaws.com/c27160d7f09c9b067c4a73a4ea60698c2d188f33.jpg,https://gm-stock2shop.s3.amazonaws.com/bf870110ed9a4696c86d8d69309cea86fa7ea571.jpg,https://gm-stock2shop.s3.amazonaws.com/f11a0d1853ea32fc8e3792ec696882fb4449e6f8.jpg,,,,,,,,,,,,,1
1001151,https://gm-stock2shop.s3.amazonaws.com/084aa02fab462b1ca1f0526849aa7107e89126cc.jpg,https://gm-stock2shop.s3.amazonaws.com/8721f440fba4927cd33c8adac54d71fb9a3efc37.jpg,https://gm-stock2shop.s3.amazonaws.com/084aa02fab462b1ca1f0526849aa7107e89126cc.jpg,https://gm-stock2shop.s3.amazonaws.com/83b8571e285419743c0d1d2ec6f4711c1e5dac6a.jpg,https://gm-stock2shop.s3.amazonaws.com/8948a4ada30089ad271cba20cd0415e2ed29943f.jpg,https://gm-stock2shop.s3.amazonaws.com/10db5c63f33e38a66dc84bcc2d4e572f885d9ac9.jpg,https://gm-stock2shop.s3.amazonaws.com/ea0bd50ad8db2c78ac0017f5b2b0251d99d7646b.jpg,,,,,,,,,,1
1000010,https://gm-stock2shop.s3.amazonaws.com/c0d71deb789662acd09b2da91226e3d3999943d6.jpg,https://gm-stock2shop.s3.amazonaws.com/b2d81a13257530401b44edfa03713b932de26c63.jpg,https://gm-stock2shop.s3.amazonaws.com/c0d71deb789662acd09b2da91226e3d3999943d6.jpg,,,,,,,,,,,,,,1
1000020,https://gm-stock2shop.s3.amazonaws.com/0a6eb43e40713035668036ec0147e409817f0803.jpg,https://gm-stock2shop.s3.amazonaws.com/78bbea42762fc04dc6a4112fcd6e2aa1567ea82d.jpg,https://gm-stock2shop.s3.amazonaws.com/0a6eb43e40713035668036ec0147e409817f0803.jpg,,,,,,,,,,,,,,1
1000021,https://gm-stock2shop.s3.amazonaws.com/eb46c4ff226b2dbf25aca07f468fa80d5d3caafb.jpg,https://gm-stock2shop.s3.amazonaws.com/8db918a7e8444cbc0d4628c1bb205b90fff3f3c6.jpg,https://gm-stock2shop.s3.amazonaws.com/eb46c4ff226b2dbf25aca07f468fa80d5d3caafb.jpg,,,,,,,,,,,,,,1
1000022,https://gm-stock2shop.s3.amazonaws.com/223377534f7fe8acb157025f9d13560f6062d51f.jpg,https://gm-stock2shop.s3.amazonaws.com/7e5cd88664779b69055275119ac9f3a7383b28a4.jpg,https://gm-stock2shop.s3.amazonaws.com/223377534f7fe8acb157025f9d13560f6062d51f.jpg,,,,,,,,,,,,,,1
1000026,https://gm-stock2shop.s3.amazonaws.com/bda25cf4e3d755f4a9120f424c32aed3c7ac18c1.jpg,https://gm-stock2shop.s3.amazonaws.com/a1833d3aff37488e19f87a4c76e8d921f7457005.jpg,https://gm-stock2shop.s3.amazonaws.com/b6b3bef288d0742fcaad11523255ef629387ee3c.jpg,https://gm-stock2shop.s3.amazonaws.com/b41c8c314c5f8ca1845b09ffbb6c3a99b3806e91.jpg,https://gm-stock2shop.s3.amazonaws.com/bda25cf4e3d755f4a9120f424c32aed3c7ac18c1.jpg,,,,,,,,,,,,1
1000027,https://gm-stock2shop.s3.amazonaws.com/c8a6d49889a7e96a54a1f29dd243f704a4e016c8.jpg,https://gm-stock2shop.s3.amazonaws.com/17d64137f78ee61db112797df3207188084d99ae.jpg,https://gm-stock2shop.s3.amazonaws.com/c8a6d49889a7e96a54a1f29dd243f704a4e016c8.jpg,,,,,,,,,,,,,,1
251366,https://s2s-image.s3.amazonaws.com/1b1d2e207cc65bf73ed01708143871e5.jpg,https://s2s-image.s3.amazonaws.com/f93c96fd8668b39c3aafce8b04ce5066.jpg,https://s2s-image.s3.amazonaws.com/d65bec235c88ae53d8f7f11c0e7de890.jpg,https://s2s-image.s3.amazonaws.com/b447cbddb3514b6c29cd20127d62f605.jpg,,,,,,,,,,,,,1
251361,https://s2s-image.s3.amazonaws.com/8d620b5b9bd955e09c60aa80dcf0cb71.jpg,https://s2s-image.s3.amazonaws.com/fa358f8f92596db3f7b0db43a81a03a7.jpg,,,,,,,,,,,,,,,1
