Model,Description,Long Description, price 
UB-AF 5G23 S45,"Ubiquiti airFiber X Antenna 5GHz, 23dBi Slant 45","Ubiquiti airFiber X Antenna 5GHz, 23dBi Slant 45","1,550.00"
UB-AF 5G30 S45,"Ubiquiti airFiber X Antenna 5GHz, 30dBi Slant 45","Ubiquiti airFiber X Antenna 5GHz, 30dBi Slant 45","2,063.06"
UB-AF 5XHD EU,Ubiquiti airFiber 5XHD,Ubiquiti airFiber 5XHD,"5,939.00"
UB-AM 5G20 90,"Ubiquiti 5 GHz airMAX 20 dBi, 90º BaseStation Sector Antenna","Ubiquiti 5 GHz airMAX 20 dBi, 90º BaseStation Sector Antenna","2,050.00"
UB-ER 12P EU,Ubiquiti EdgeRouter 12P,Ubiquiti EdgeRouter 12P,"5,540.14"
UB-ER RMKIT,Ubiquiti EdgeMAX Universal Rack-mount Kit,Ubiquiti EdgeMAX Universal Rack-mount Kit,245
UB-ER X EU,Ubiquiti EdgeRouter X,Ubiquiti EdgeRouter X,858
UB-ES 10XP 3 PACK,"Ubiquiti EdgeSwitch 10XP, 3 Pack","Ubiquiti EdgeSwitch 10XP, 3 Pack","2,202.00"
UB-ES 16 150W,Ubiquiti EdgeSwitch 16 (150W),Ubiquiti EdgeSwitch 16 (150W),"3,518.00"
UB-ES 8 150W,Ubiquiti EdgeSwitch 8 150W,Ubiquiti EdgeSwitch 8 150W,"3,518.00"
UB-ETH SP G2,Ubiquiti Ethernet Surge Protector,Ubiquiti Ethernet Surge Protector,210
UB-F POE G2,Ubiquiti Optical Data Transport for Outdoor POE Devices,Ubiquiti Optical Data Transport for Outdoor POE Devices,495
UB-LAP 120 EU,Ubiquiti LiteBeam 5AC AP,Ubiquiti LiteBeam 5AC AP,"1,450.00"
UB-LBE 5AC GEN2,Ubiquiti LiteBeam 5AC Gen2,Ubiquiti LiteBeam 5AC Gen2,"1,135.84"
UB-LBE M5 23,Ubiquiti LiteBeam M5,Ubiquiti LiteBeam M5,795
UB-LOCOM2,Ubiquiti NanoStation Loco M2,Ubiquiti NanoStation Loco M2,795
UB-NBE 5AC GEN2,Ubiquiti NanoBeam 5AC Gen2,Ubiquiti NanoBeam 5AC Gen2,"1,605.00"
UB-NBE M5 16,Ubiquiti NanoBeam M5 16,Ubiquiti NanoBeam M5 16,"1,095.00"
UB-NSM5,Ubiquiti NanoStation M5,Ubiquiti NanoStation M5,"1,425.00"
UB-PBE 5AC GEN2,Ubiquiti PowerBeam 5AC Gen2,Ubiquiti PowerBeam 5AC Gen2,"1,875.00"
UB-PBE M5 400,Ubiquiti PowerBeam M5 400,Ubiquiti PowerBeam M5 400,"1,576.27"
UB-POE 24 12W G,"Ubiquiti PoE Injector, 24VDC, 12W, Gbit","Ubiquiti PoE Injector, 24VDC, 12W, Gbit",178
UB-POE 24 24W G,"Ubiquiti PoE Injector, 24VDC, 24W, Gbit","Ubiquiti PoE Injector, 24VDC, 24W, Gbit",242
